 StrtDate:08-03-2025 StrtTime:12:57:44 EndDate :08-08-2025 EndTime :18:48:05 MN Converter:CMS-MNG-E Units   :07 Records :007549 Cycle:060
 Adres:51, Attr:OC, Modl:PUMY-P36/48NKMU1(-BS), Serial No:REDACTED, Ver:550000, SubVer:000000, Capa: 200, Modl:03,TypeCode:D6h,SubNo:  ,Group No:-,Branch No:-, UnitInfo:01_80,02_80,03_80,04_80,05_80,06_80,
 Adres:1, Attr:IC, Modl:F/P, Serial No:REDACTED, Ver:036602, SubVer:FFFFFF, Capa:  16, Modl:FF,TypeCode:70h,SubNo:  ,Group No:-,Branch No:0, UnitInfo:33_83,
 Adres:2, Attr:IC, Modl:F/P, Serial No:REDACTED, Ver:105301, SubVer:FFFFFF, Capa:   5, Modl:FF,TypeCode:70h,SubNo:  ,Group No:-,Branch No:0, UnitInfo:33_83,
 Adres:3, Attr:IC, Modl:F/P, Serial No:REDACTED, Ver:105301, SubVer:FFFFFF, Capa:  10, Modl:FF,TypeCode:70h,SubNo:  ,Group No:-,Branch No:0, UnitInfo:33_83,
 Adres:4, Attr:IC, Modl:PAC-MK*BC, Serial No:REDACTED, Ver:140000, SubVer:FFFFFF, Capa:   5, Modl:FF,TypeCode:92h,SubNo:  ,Group No:-,Branch No:0, UnitInfo:33_83,
 Adres:5, Attr:IC, Modl:PAC-MK*BC, Serial No:REDACTED, Ver:140000, SubVer:FFFFFF, Capa:   5, Modl:FF,TypeCode:92h,SubNo:  ,Group No:-,Branch No:0, UnitInfo:33_83,
 Adres:6, Attr:IC, Modl:F/P, Serial No:REDACTED, Ver:105604, SubVer:FFFFFF, Capa:   6, Modl:FF,TypeCode:70h,SubNo:  ,Group No:-,Branch No:0, UnitInfo:33_83,
  , , ,OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),OC(051),IC(001),IC(001),IC(001),IC(001),IC(002),IC(002),IC(002),IC(002),IC(003),IC(003),IC(003),IC(003),IC(004),IC(004),IC(004),IC(004),IC(005),IC(005),IC(005),IC(005),IC(006),IC(006),IC(006),IC(006),
Date,Time,Counter,TH2,TH3,TH4,TH6,TH7,TH8,63HS,63LS,W(comp),GR,HIC SC,HIC SCm,demand,OPERATION MODE,Pdm,ETm,SC,SCm,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SCm1,SCm2,SCm3,SCm4,SCm5,SCm6,SCm7,SCm8,SCm9,SCm10,SCm11,SCm12,I(input)(A),I(comp)(A),VDC(V),LEV_A,LEV_B,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28,SC29,SC30,SCm13,SCm14,SCm15,SCm16,SCm17,SCm18,SCm19,SCm20,SCm21,SCm22,SCm23,SCm24,SCm25,SCm26,SCm27,SCm28,SCm29,SCm30,CN3D-2,CN3S-2,CN3N-2,CN3N-3,CN3D-3,State,Demand(%),52C,21S4,SV1,SV2,SV3,F/Hz,FAN,LEV1,LEV2,LEV3,LEV4,LEV5,LEV6,LEV7,LEV8,LEV9,LEV10,LEV11,LEV12,LEV13,LEV14,LEV15,LEV16,LEV17,LEV18,LEV19,LEV20,LEV21,LEV22,LEV23,LEV24,LEV25,LEV26,LEV27,LEV28,LEV29,LEV30,SS/BH,TH1,TH2,TH3,IC S,TH1,TH2,TH3,IC S,TH1,TH2,TH3,IC S,TH1,TH2,TH3,IC S,TH1,TH2,TH3,IC S,TH1,TH2,TH3,IC S,
8/3/2025,12:57:44,1, 14.4, 41.5, 77.3, 10.9, 35.9, 69.7,359.8, 98.1, 1257, 111, 15.7, 10.0,OFF ,Cooling, 29.5,  4.5,  1.2, 10.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.6, 13.3,556.0, 480,  57,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,OFF ,OFF ,OFF ,OFF ,OFF ,Ordinary,100, ON ,OFF ,OFF ,OFF ,OFF ,20,5,  60,  60,  60,  60,  60, 210,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,OFF , 24.5, 16.3, 16.7,Stop, 23.5,  1.7,  6.3,Stop, 24.5, 22.1, 22.4,Stop, 21.0, 15.5, 15.5,Cool OFF, 25.5, 22.0, 22.0,Stop, 23.0,  4.7,  3.4,Cool ON,
8/3/2025,12:58:44,2, 13.6, 41.1, 77.6, 10.1, 35.5, 70.2,349.9, 96.7, 1231, 110, 15.7, 10.0,OFF ,Cooling, 29.5,  4.5,  0.5, 10.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.6, 13.1,555.0, 480,  57,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,OFF ,OFF ,OFF ,OFF ,OFF ,Ordinary,100, ON ,OFF ,OFF ,OFF ,OFF ,20,5,  60,  60,  60,  60,  60, 210,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,OFF , 24.5, 16.7, 17.0,Stop, 23.5,  1.7,  6.3,Stop, 24.5, 22.1, 22.4,Stop, 21.0, 16.0, 16.0,Cool OFF, 25.5, 22.0, 22.0,Stop, 23.0,  4.3,  3.0,Cool ON,
8/3/2025,12:59:44,3, 12.8, 41.1, 77.8,  8.1, 35.5, 70.3,359.8, 98.1, 1267, 111, 15.7, 10.0,OFF ,Cooling, 29.5,  4.5,  1.9, 10.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.6, 13.3,561.0, 480,  57,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,OFF ,OFF ,OFF ,OFF ,OFF ,Ordinary,100, ON ,OFF ,OFF ,OFF ,OFF ,20,5,  60,  60,  60,  60,  60, 210,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,OFF , 24.5, 17.0, 17.5,Stop, 23.5,  1.7,  6.7,Stop, 24.5, 22.1, 22.4,Stop, 21.0, 16.0, 16.0,Cool OFF, 25.5, 22.0, 22.0,Stop, 23.0,  4.7,  4.7,Cool ON,
8/3/2025,13:00:44,4, 14.0, 41.5, 78.2,  4.4, 35.5, 70.7,359.8, 98.1, 1264, 111, 15.7, 10.0,OFF ,Cooling, 29.5,  4.5,  1.3, 10.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.6, 13.2,560.0, 480,  57,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,OFF ,OFF ,OFF ,OFF ,OFF ,Ordinary,100, ON ,OFF ,OFF ,OFF ,OFF ,20,5,  60,  60,  60,  60,  60, 210,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,OFF , 24.5, 17.5, 17.7,Stop, 23.5,  1.7,  7.1,Stop, 24.5, 22.1, 22.8,Stop, 21.2, 16.5, 16.5,Cool OFF, 25.5, 22.0, 22.0,Stop, 23.0,  4.7,  4.3,Cool ON,
8/3/2025,13:01:44,5, 13.2, 41.1, 78.5,  6.0, 35.0, 70.8,352.7, 98.1, 1238, 111, 15.7, 10.0,OFF ,Cooling, 29.5,  4.5,  1.0, 10.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.5, 13.1,562.0, 480,  57,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,OFF ,OFF ,OFF ,OFF ,OFF ,Ordinary,100, ON ,OFF ,OFF ,OFF ,OFF ,20,5,  60,  60,  60,  60,  60, 210,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,OFF , 24.5, 17.5, 17.8,Stop, 23.5,  1.7,  7.5,Stop, 24.5, 22.1, 22.8,Stop, 21.2, 16.5, 17.0,Cool OFF, 25.5, 22.0, 22.0,Stop, 23.0,  4.7,  3.0,Cool ON,
8/3/2025,13:02:44,6, 12.4, 41.1, 78.8,  6.9, 35.5, 71.1,359.8, 96.7, 1263, 110, 15.7, 10.0,OFF ,Cooling, 29.5,  4.5,  1.4, 10.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.6, 13.2,562.0, 480,  57,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,OFF ,OFF ,OFF ,OFF ,OFF ,Ordinary,100, ON ,OFF ,OFF ,OFF ,OFF ,20,5,  60,  60,  60,  60,  60, 210,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,OFF , 24.5, 17.8, 18.0,Stop, 23.5,  1.7,  7.9,Stop, 24.5, 22.1, 22.8,Stop, 21.2, 17.0, 17.0,Cool OFF, 25.5, 22.0, 22.5,Stop, 23.0,  4.3,  3.0,Cool ON,
8/3/2025,13:03:44,7, 13.6, 41.1, 79.5,  7.7, 35.5, 71.4,364.1, 96.7, 1275, 109, 15.7, 10.0,OFF ,Cooling, 29.5,  4.5,  1.8, 10.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.6, 13.5,559.0, 480,  57,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,OFF ,OFF ,OFF ,OFF ,OFF ,Ordinary,100, ON ,OFF ,OFF ,OFF ,OFF ,20,5,  60,  60,  60,  60,  60, 210,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,OFF , 24.5, 17.8, 18.0,Stop, 23.5,  1.7,  8.3,Stop, 24.5, 22.1, 22.8,Stop, 21.2, 17.0, 17.0,Cool OFF, 25.5, 22.0, 22.5,Stop, 23.0,  4.3,  2.6,Cool ON,
8/3/2025,13:04:44,8, 15.2, 41.1, 80.4,  7.3, 35.5, 71.5,364.1, 96.7, 1282, 109, 15.7, 10.0,OFF ,Cooling, 29.5,  4.5,  1.3, 10.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.6, 13.3,557.0, 480,  57,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,OFF ,OFF ,OFF ,OFF ,OFF ,Ordinary,100, ON ,OFF ,OFF ,OFF ,OFF ,20,5,  60,  60,  60,  60,  60, 210,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,OFF , 24.5, 17.8, 18.2,Stop, 23.5,  1.7,  8.7,Stop, 24.5, 22.1, 22.8,Stop, 21.2, 17.0, 17.5,Cool OFF, 25.5, 22.0, 22.0,Stop, 22.5,  3.8,  2.6,Cool ON,
8/3/2025,13:05:44,9, 15.2, 41.5, 80.9,  2.3, 35.9, 71.7,364.1, 95.3, 1289, 109, 15.7, 10.0,OFF ,Cooling, 27.5,  5.5,  1.4, 10.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.6, 13.4,560.0, 480,  57,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,OFF ,OFF ,OFF ,OFF ,OFF ,Ordinary,100, ON ,OFF ,OFF ,OFF ,OFF ,20,5,  60,  60,  60,  60,  60, 210,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,  60,OFF , 24.5, 18.0, 18.2,Stop, 23.5,  1.7,  8.7,Stop, 24.5, 22.1, 22.8,Stop, 21.2, 17.5, 18.0,Cool OFF, 25.5, 22.0, 22.5,Stop, 22.5,  3.8,  2.6,Cool ON,
